,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
NB,0.9863013698630136,6.640676908608102e-05,0.08211443823139629,0.9864864864864865,0.9903846153846154
NDB,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
OLF,0.9931506849315068,6.642146542447544e-05,0.0826862283818069,0.9931972789115646,0.9905172413793103
ORB,0.9931506849315068,6.291637078396448e-05,0.08270556131361922,0.9931972789115646,0.9909961685823755
OT,0.9931506849315068,6.572312826044515e-05,0.08269002019992479,0.9931972789115646,0.9906130268199234
OV,0.9931506849315068,6.709135829832422e-05,0.08268232975191106,0.9931972789115646,0.9904214559386973
P-mot,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
P-sat,0.9931506849315068,6.572791414247603e-05,0.0826900469028693,0.9931972789115646,0.9906130268199234
P-sen,0.9931506849315068,6.574213697499035e-05,0.08269007360581378,0.9931972789115646,0.9906130268199234
PA,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
PAG,0.9794520547945205,6.0204555404002406e-05,0.08158895098673509,0.9798657718120806,0.9911356249384419
PAR,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
PB,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
PBG,0.9794520547945205,6.372208586989271e-05,0.08155818919468011,0.9798657718120806,0.9906431596572441
PCN,0.9863013698630136,6.37075845110709e-05,0.08212992593920175,0.9864864864864865,0.9907731157731158
PD,0.9931506849315068,6.642146542447544e-05,0.0826862283818069,0.9931972789115646,0.9905172413793103
PERI,0.9931506849315068,6.291637078396448e-05,0.08270556131361922,0.9931972789115646,0.9909961685823755
PF,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
PH,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
PL,0.9794520547945205,6.097491635808758e-05,0.08158126053872135,0.9798657718120806,0.9910371318822023
PMd,0.9863013698630136,6.086055544792184e-05,0.08214552045878516,0.9864864864864865,0.9911616161616161
PMv,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
PN,0.9452054794520548,5.958937946757132e-05,0.07873000023468202,0.948051948051948,0.9905849994710674
POST,0.9931506849315068,6.638302737991086e-05,0.08268601475825098,0.9931972789115646,0.9905172413793103
PP,0.9931506849315068,6.291637078396448e-05,0.08270556131361922,0.9931972789115646,0.9909961685823755
PPN,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
PR,0.9863013698630136,6.226030612223142e-05,0.08214154172005583,0.9864864864864865,0.990967365967366
PRE,0.9794520547945205,6.575616041539403e-05,0.08154673363149298,0.9798657718120806,0.9903476804885255
PRT,0.9863013698630136,6.226030612223142e-05,0.08214154172005583,0.9864864864864865,0.990967365967366
PS,0.9794520547945205,6.161482918079543e-05,0.08156993849025666,0.9798657718120806,0.9909386388259628
PST,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
PSTN,0.9931506849315068,6.642146542447544e-05,0.0826862283818069,0.9931972789115646,0.9905172413793103
PTLp,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
PVT,0.9931506849315068,6.43397299552588e-05,0.082697844162661,0.9931972789115646,0.9908045977011494
PVZ,0.9931506849315068,6.218651298350367e-05,0.08270940653762611,0.9931972789115646,0.9910919540229886
PeF,0.9863013698630136,6.508607231325728e-05,0.08212616082402835,0.9864864864864865,0.9905788655788655
ProS,0.9657534246575342,5.9673228216945886e-05,0.08044173908546294,0.9668874172185431,0.9909827760891591
RCH,0.9726027397260273,6.167878100091261e-05,0.08099809493395707,0.9733333333333334,0.9908101088802318
RE,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
RH,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
RL,0.9794520547945205,6.240132310440825e-05,0.08156614667213877,0.9798657718120806,0.9908401457697232
RN,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
RR,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
RSP,0.958904109589041,6.164394662950524e-05,0.07985438111841339,0.9605263157894737,0.9905447070914697
RT,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
SAG,0.9383561643835616,5.818929018093565e-05,0.07816945202390262,0.9419354838709677,0.9906612279948476
SBPV,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
SCH,0.9726027397260273,6.305253868042524e-05,0.08099037778299883,0.9733333333333334,0.9906103286384976
SCm,0.9863013698630136,6.092976072188221e-05,0.08214562727056314,0.9864864864864865,0.9911616161616161
SCs,0.9931506849315068,6.642146542447544e-05,0.0826862283818069,0.9931972789115646,0.9905172413793103
SF,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
SFO,1.0136986301369864,6.84080754865577e-05,0.08382171769044702,1.0,0.9903637222484648
SH,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
SI,0.9931506849315068,6.641674694923372e-05,0.08268620167886241,0.9931972789115646,0.9905172413793103
SNc,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
SNr,0.9863013698630136,6.22940930124669e-05,0.08213780330782693,0.9864864864864865,0.990967365967366
SPA,0.9794520547945205,6.16878822908843e-05,0.0815698583814232,0.9798657718120806,0.9909386388259628
SPF,0.9794520547945205,6.091074913838579e-05,0.08157754882943694,0.9798657718120806,0.9910371318822023
SS,0.9931506849315068,6.63977353657373e-05,0.08268609486708445,0.9931972789115646,0.9905172413793103
STN,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
SUB,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
TEa,0.9931506849315068,6.571813429658684e-05,0.08268999349698031,0.9931972789115646,0.9906130268199234
TRS,0.9931506849315068,6.43397299552588e-05,0.082697844162661,0.9931972789115646,0.9908045977011494
TU,0.9863013698630136,6.70959461630916e-05,0.0821106998191674,0.9864864864864865,0.9902874902874903
VAL,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
VERM,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
VIS,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
VISC,0.9863013698630136,6.161017669821444e-05,0.08214162182888932,0.9864864864864865,0.991064491064491
VLPO,0.9794520547945205,6.573187921068303e-05,0.0815466001167705,0.9798657718120806,0.9903476804885255
VM,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
VMH,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
VMPO,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
VP,0.9931506849315068,6.70959461630916e-05,0.08268235645485554,0.9931972789115646,0.9904214559386973
VTA,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
VTN,0.9794520547945205,5.82018021856841e-05,0.0815930365372424,0.9798657718120806,0.9914311041071604
VeCB,0.9794520547945205,6.234381929395735e-05,0.08156593304858284,0.9798657718120806,0.9908401457697232
ZI,0.9931506849315068,6.641674694923372e-05,0.08268620167886241,0.9931972789115646,0.9905172413793103
