,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
P-sat,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
P-sen,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PA,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PAG,0.9931506849315068,7.700717132384201e-05,0.0828154370822021,0.9931972789115646,0.9890804597701149
PAR,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PB,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
PBG,0.9794520547945205,7.358789981935562e-05,0.08168813660713325,0.9798657718120806,0.9892642568698907
PCN,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PD,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
PERI,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
PF,0.9794520547945205,7.706420615719435e-05,0.08166879658803734,0.9798657718120806,0.988771791588693
PH,0.9794520547945205,7.839946865793816e-05,0.0816610176621874,0.9798657718120806,0.9885748054762139
PL,0.9931506849315068,7.837053497064618e-05,0.0828076313324699,0.9931972789115646,0.9888888888888889
PMd,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PMv,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PN,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
POST,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PP,0.9520547945205479,7.091275345149832e-05,0.07941703896941724,0.954248366013072,0.9890522364716922
PPN,0.9863013698630136,7.359838505429397e-05,0.08226155073780347,0.9864864864864865,0.9894133644133644
PR,0.9931506849315068,7.839946865793816e-05,0.08280779227576336,0.9931972789115646,0.9888888888888889
PRE,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PRT,0.9863013698630136,7.772465929158417e-05,0.08223429767344642,0.9864864864864865,0.9888306138306139
PS,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
PST,0.9863013698630136,7.638002583301765e-05,0.08224601970998582,0.9864864864864865,0.989024864024864
PSTN,0.9726027397260273,7.50399788643714e-05,0.08110697037449531,0.9733333333333334,0.9889121965837578
PTLp,0.9931506849315068,7.559915195622982e-05,0.08282321600805204,0.9931972789115646,0.989272030651341
PVT,0.9794520547945205,7.569543662077443e-05,0.08167644139447608,0.9798657718120806,0.9889687777011721
PVZ,0.9726027397260273,7.63846811045742e-05,0.08109921827252763,0.9733333333333334,0.9887124163420238
PeF,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
ProS,0.9931506849315068,7.839481617535718e-05,0.08280776545188111,0.9931972789115646,0.9888888888888889
RCH,0.9863013698630136,7.839468556488283e-05,0.08223435132121089,0.9864864864864865,0.9887334887334888
RE,0.9931506849315068,7.770126489335778e-05,0.0828116012670416,0.9931972789115646,0.9889846743295019
RH,0.9794520547945205,7.49748440914548e-05,0.0816878415444286,0.9798657718120806,0.9890672707574116
RL,0.9794520547945205,7.293786592724344e-05,0.08169967087649697,0.9798657718120806,0.9893627499261302
RN,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
RR,0.9931506849315068,7.700717132384201e-05,0.0828154370822021,0.9931972789115646,0.9890804597701149
RSP,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
RT,0.9520547945205479,5.750081044830384e-05,0.07948458150490059,0.954248366013072,0.9910332603482431
SAG,0.9794520547945205,7.417671314058973e-05,0.08168384478597465,0.9798657718120806,0.9891657638136512
SBPV,0.9794520547945205,7.504928520438049e-05,0.0816804918006945,0.9798657718120806,0.9890672707574116
SCH,0.9520547945205479,5.883203760510027e-05,0.07949190442475243,0.954248366013072,0.9908247315191325
SCm,0.9931506849315068,7.403511457150129e-05,0.08283051210402166,0.9931972789115646,0.9894636015325671
SCs,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
SF,0.9931506849315068,7.839016369277618e-05,0.08280773862799887,0.9931972789115646,0.9888888888888889
SFO,1.0,7.839940404012455e-05,0.0828038491650739,0.9864864864864865,0.9887334887334888
SH,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
SI,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
SNc,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
SNr,0.9931506849315068,7.837053497064618e-05,0.0828076313324699,0.9931972789115646,0.9888888888888889
SPA,0.9726027397260273,6.092462657659289e-05,0.08118331114335378,0.9733333333333334,0.9909099990010988
SPF,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
SS,0.9931506849315068,7.906470904920596e-05,0.08279993287826669,0.9931972789115646,0.9887931034482759
